category,language,source_url,local_path,size_bytes
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2592589_BI/Act 862 -FINANCE ACT 2024.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 862 -FINANCE ACT 2024.pdf",377286
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2509365_BI/Energy Efficiency and Conservation Act 2024 - Act 861.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Energy Efficiency and Conservation Act 2024 - Act 861.pdf",468216
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2509365_BM/Akta Kecekapan dan Konservasi Tenaga 2024- Akta 861.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta Kecekapan dan Konservasi Tenaga 2024- Akta 861.pdf",451709
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2430998_BM/Akta 860.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 860.pdf",473902
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2430998_BI/Act 860.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 860.pdf",457348
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2430798_BI/Act 859.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 859.pdf",229103
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2430798_BM/Akta 859.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 859.pdf",225720
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2430978_BI/Act 858.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 858.pdf",202331
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2430978_BM/Akta 858.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 858.pdf",219458
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2422047_BM/Akta Penjual Barang Kemas (Pelesenan) 1917.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta Penjual Barang Kemas (Pelesenan) 1917.pdf",115731
