file,reason,detail
pdfs/revised/EN/ACT 19 - REPRINT 1992.pdf,needs_ocr,0/19 text pages
pdfs/revised/EN/ACT 19 - REPRINT 1994.pdf,needs_ocr,0/19 text pages
pdfs/revised/EN/ACT 19 - REPRINT 2002.pdf,needs_ocr,0/19 text pages
pdfs/revised/EN/ACT 19 - REPRINT 2006.pdf,already_covered,Act 19
pdfs/revised/EN/ACT 19 - REPRINT 2016.pdf,already_covered,Act 19
pdfs/revised/EN/Act 190 Revised 1977.pdf,needs_ocr,0/12 text pages
pdfs/revised/EN/Act 191 Revised 1977.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/ACT 194 REVISED 1977.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/Act 195 Repealed.pdf,repealed_in_filename,Act 195 Repealed
pdfs/revised/EN/Act 196 Revised.pdf,already_covered,Act 196
pdfs/revised/EN/Act 197 Revised.pdf,already_covered,Act 197
pdfs/revised/EN/Act 198 Revised.pdf,already_covered,Act 198
pdfs/revised/EN/ACT 20.pdf,needs_ocr,0/25 text pages
pdfs/revised/EN/Act 200 Revised.pdf,already_covered,Act 200
pdfs/revised/EN/Act 201 Revised.pdf,already_covered,Act 201
pdfs/revised/EN/Act 204 revised 1978.pdf,needs_ocr,0/47 text pages
pdfs/revised/EN/ACT 205 REVISED 1978.pdf,needs_ocr,0/5 text pages
pdfs/revised/EN/ACT 206 REVISED.pdf,needs_ocr,0/43 text pages
pdfs/revised/EN/Act 207 revised 1978.pdf,needs_ocr,0/18 text pages
pdfs/revised/EN/Act 208 revised 1978.pdf,needs_ocr,0/53 text pages
pdfs/revised/EN/Act 210 (Revised).pdf,needs_ocr,0/17 text pages
pdfs/revised/EN/Act 213 (Revised).pdf,needs_ocr,0/18 text pages
pdfs/revised/EN/Act 215 (Revised).pdf,already_covered,Act 215
pdfs/revised/EN/Act 220 -Revised.pdf,already_covered,Act 220
pdfs/revised/EN/ACT 221 REVISED 1979.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/Act 232-repealed  by Act 468.pdf,repealed_in_filename,Act 232-repealed  by Act 468
pdfs/revised/EN/Act 233 revised.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/ACT 234 REVISED 1980.pdf,needs_ocr,0/62 text pages
pdfs/revised/EN/Act 236 revised.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/ACT 242.pdf,needs_ocr,0/26 text pages
pdfs/revised/EN/Act 247_.pdf,needs_ocr,0/22 text pages
pdfs/revised/EN/Act 248 Revised.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/Act 250 - Revised 1981.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/Act 252 Revised.pdf,needs_ocr,0/17 text pages
pdfs/revised/EN/Act 253 Revised.pdf,needs_ocr,0/14 text pages
pdfs/revised/EN/ACT 255 REVISED 1981.pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/ACT 256 REVISED 1981.pdf,needs_ocr,0/16 text pages
pdfs/revised/EN/ACT 257 REVISED 1981.pdf,needs_ocr,0/24 text pages
pdfs/revised/EN/ACT 259 REVISED 1981.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/ACT 260 REVISED 1981.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/Act 262 BI (Revised 1981) Trade Unions Act 1959.pdf,needs_ocr,0/67 text pages
pdfs/revised/EN/ACT 263 REVISED 1981.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/ACT 268 REVISED 1982.pdf,needs_ocr,0/24 text pages
pdfs/revised/EN/ACT 273 REVISED 1982.pdf,needs_ocr,0/54 text pages
pdfs/revised/EN/ACT 286 REVISED 1983.pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/Act 287 Repealed by Act 502.pdf,repealed_in_filename,Act 287 Repealed by Act 502
pdfs/revised/EN/ACT 288 REVISED 1983.pdf,needs_ocr,0/12 text pages
pdfs/revised/EN/ACT 289 REVISED 1983_compressed.pdf,needs_ocr,0/20 text pages
pdfs/revised/EN/ACT 290 REVISED 1983.pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/ACT 296 REVISED 1983.pdf,needs_ocr,0/26 text pages
pdfs/revised/EN/ACT 297 (REVISED 1983) PREVENTION OF CRIME ACT 1959.pdf,needs_ocr,0/18 text pages
pdfs/revised/EN/ACT 298 REVISED 1983.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/ACT 300 REVISED 1983.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/ACT 31 - REVISED 1970.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 32 Revised 1971 BI.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/ACT 328.pdf,needs_ocr,0/23 text pages
pdfs/revised/EN/ACT 33 - REVISED 1971.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/Act 335.pdf,already_covered,Act 335
pdfs/revised/EN/Act 336 (disemak 1987).pdf,needs_ocr,0/29 text pages
pdfs/revised/EN/ACT 34 - REVISED 1971.pdf,needs_ocr,0/10 text pages
pdfs/revised/EN/ACT 344 POLICE REVISED 1988.pdf,needs_ocr,0/67 text pages
pdfs/revised/EN/ACT 347 REVISED.pdf,needs_ocr,0/17 text pages
pdfs/revised/EN/ACT 349 - REVISED 1988.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 350  REVISED.pdf,needs_ocr,0/20 text pages
pdfs/revised/EN/ACT 352 REVISED.pdf,needs_ocr,0/13 text pages
pdfs/revised/EN/Act 353.pdf,already_covered,Act 353
pdfs/revised/EN/Act 354 Revised.pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/Act 355 Revised.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/ACT 357 - REVISED 1988.pdf,needs_ocr,0/14 text pages
pdfs/revised/EN/ACT 358 REVISED.pdf,needs_ocr,0/14 text pages
pdfs/revised/EN/ACT 359 REVISED.pdf,needs_ocr,0/42 text pages
pdfs/revised/EN/Act 362 Revised.pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/Act 363 -Revised.pdf,needs_ocr,0/42 text pages
pdfs/revised/EN/ACT 366 - Final as at 11.10.23.pdf,already_covered,Act 366
pdfs/revised/EN/ACT 366 - FINAL CLEAN as at 1 Apr 2023 (6.12.23).pdf,already_covered,Act 366
pdfs/revised/EN/Act 366 as at 1 October 2021.pdf,already_covered,Act 366
pdfs/revised/EN/Act 366 Final as at 6 Oct 2022 (27.03.2023).pdf,already_covered,Act 366
pdfs/revised/EN/Act 366-23 2 2018.pdf,already_covered,Act 366
pdfs/revised/EN/Act 366.pdf,already_covered,Act 366
pdfs/revised/EN/ACT 366_Final online_as 15 Mei 2024.pdf,already_covered,Act 366
pdfs/revised/EN/ACT 366_MUKTAMAD_1 JANUARY 2022.pdf,already_covered,Act 366
pdfs/revised/EN/Act 367 Revised.pdf,needs_ocr,0/27 text pages
pdfs/revised/EN/Act 368 - asal.pdf,unreadable,Failed to open file 'C:\\Users\\huiyee\\OneDrive\\Documents\\claude\\playground\\malaysia_law\\pdfs\\revised\\EN\\Act 36
pdfs/revised/EN/Act 368.pdf,already_covered,Act 368
pdfs/revised/EN/Act 369 Revised.pdf,needs_ocr,0/12 text pages
pdfs/revised/EN/ACT 371 - REVISED 1989.pdf,needs_ocr,0/24 text pages
pdfs/revised/EN/Act 373 Revised.pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/Act 374 Revised.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 375 Revised.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/Act 376 Revised.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 377_REPEAL.pdf,already_covered,Act 377
pdfs/revised/EN/ACT 378 REVISED 1989.pdf,needs_ocr,0/95 text pages
pdfs/revised/EN/Act 379 Revised.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 380 Revised.pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/Act 381 Revised.pdf,needs_ocr,0/13 text pages
pdfs/revised/EN/Act 383 Revised.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 384.pdf,already_covered,Act 384
pdfs/revised/EN/Act 385 Revised.pdf,needs_ocr,0/21 text pages
pdfs/revised/EN/Act 386 Revised.pdf,needs_ocr,0/20 text pages
pdfs/revised/EN/Act 387 Revised.pdf,needs_ocr,0/12 text pages
pdfs/revised/EN/Act 388 Revised.pdf,needs_ocr,0/74 text pages
pdfs/revised/EN/Act 389 Revised.pdf,needs_ocr,0/13 text pages
pdfs/revised/EN/Act 390.pdf,already_covered,Act 390
pdfs/revised/EN/Act 391 Revised.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 392 Revised.pdf,needs_ocr,0/30 text pages
pdfs/revised/EN/Act 395 Revised.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 396 Revised.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 397 Revised.pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/Act 399 Revised.pdf,needs_ocr,0/22 text pages
pdfs/revised/EN/act 400 revised .pdf,needs_ocr,0/35 text pages
pdfs/revised/EN/Act 401 repealed by act 551.pdf,repealed_in_filename,Act 401 repealed by act 551
pdfs/revised/EN/ACT 402 REVISED 1989.pdf,needs_ocr,0/51 text pages
pdfs/revised/EN/ACT 403 REVISED 1989.pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/ACT 404 REVISED 1989.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/ACT 405 REVISED 1989.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/ACT 406 REVISED 1989.pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/Act 407 repealed by Act 551.pdf,repealed_in_filename,Act 407 repealed by Act 551
pdfs/revised/EN/ACT 408 REVISED 1989.pdf,needs_ocr,0/14 text pages
pdfs/revised/EN/ACT 410 REVISED 1989.pdf,needs_ocr,0/12 text pages
pdfs/revised/EN/ACT 411 REVISED 1989.pdf,needs_ocr,0/13 text pages
pdfs/revised/EN/ACT 412 REVISED 1989.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/ACT 413 (1).pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/ACT 414 REVISED 1989.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/ACT 416 REVISED 1989.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/ACT 417 REVISED 1989.pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/ACT 422 1.pdf,needs_ocr,0/20 text pages
pdfs/revised/EN/ACT 426 REVISED 1990.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/ACT 427 REVISED 1990.pdf,needs_ocr,0/28 text pages
pdfs/revised/EN/ACT 428 REVISED 1990.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/ACT 429 REVISED 1990.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/ACT 430 REVISED 1990.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/ACT 431 REVISED 1990.pdf,needs_ocr,0/10 text pages
pdfs/revised/EN/ACT 432 REVISED 1990.pdf,needs_ocr,0/29 text pages
pdfs/revised/EN/Act 433 Repealed.pdf,repealed_in_filename,Act 433 Repealed
pdfs/revised/EN/Act 434 Repealed.pdf,repealed_in_filename,Act 434 Repealed
pdfs/revised/EN/ACT 435 REVISED 1990.pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/Act 436 BI (Revised 1990).pdf,needs_ocr,0/22 text pages
pdfs/revised/EN/ACT 437 REVISED 1990.pdf,needs_ocr,0/13 text pages
pdfs/revised/EN/ACT 450 REVISED 1990.pdf,needs_ocr,0/13 text pages
pdfs/revised/EN/Act 455.pdf,already_covered,Act 455
pdfs/revised/EN/ACT 456 REVISED 1991.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/ACT 457 REVISED 1991.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/Act 458 Revised 1991.pdf,needs_ocr,0/17 text pages
pdfs/revised/EN/ACT 459 REVISED 1991.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/Act 460.pdf,already_covered,Act 460
pdfs/revised/EN/Act 461 - Final Draft (30.9.2022).pdf,already_covered,Act 461
pdfs/revised/EN/Act 461.pdf,already_covered,Act 461
pdfs/revised/EN/Act 462 - Asian Development Bank Act 1966.pdf,already_covered,Act 462
pdfs/revised/EN/Act 462.pdf,already_covered,Act 462
pdfs/revised/EN/ACT 464 (1).pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/Act 473.pdf,already_covered,Act 473
pdfs/revised/EN/ACT 478.pdf,needs_ocr,0/5 text pages
pdfs/revised/EN/Act 486 - Land Acquisition Act 1960.pdf,already_covered,Act 486
pdfs/revised/EN/Act 486 - Reprint Online (Jun 2018).pdf,already_covered,Act 486
pdfs/revised/EN/Act 486.pdf,already_covered,Act 486
pdfs/revised/EN/Act 487.pdf,already_covered,Act 487
pdfs/revised/EN/ACT 488 - REPRINT 2002.pdf,needs_ocr,0/72 text pages
pdfs/revised/EN/Act 488.pdf,already_covered,Act 488
pdfs/revised/EN/Act 489.pdf,already_covered,Act 489
pdfs/revised/EN/Act 492.pdf,already_covered,Act 492
pdfs/revised/EN/Act 494.pdf,already_covered,Act 494
pdfs/revised/EN/Act 495.pdf,already_covered,Act 495
pdfs/revised/EN/Act 496 Repealed.pdf,repealed_in_filename,Act 496 Repealed
pdfs/revised/EN/Act 5 - Reprint 2016.pdf,already_covered,Act 5
pdfs/revised/EN/Act 5.pdf,already_covered,Act 5
pdfs/revised/EN/Act 509.pdf,already_covered,Act 509
pdfs/revised/EN/ACT 510 - REVISED 1993.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/ACT 512 - REVISED 1993.pdf,needs_ocr,0/168 text pages
pdfs/revised/EN/ACT 517 - REVISED 1994.pdf,needs_ocr,0/31 text pages
pdfs/revised/EN/ACT 518 - REVISED 1994.pdf,needs_ocr,0/114 text pages
pdfs/revised/EN/ACT 527 - REVISED 1994.pdf,needs_ocr,0/13 text pages
pdfs/revised/EN/Act 528.pdf,already_covered,Act 528
pdfs/revised/EN/ACT 529 - REVISED 1994.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/ACT 530 - REVISED 1994.pdf,needs_ocr,0/37 text pages
pdfs/revised/EN/Act 54 (REPEAL).pdf,repealed_in_filename,Act 54 (REPEAL)
pdfs/revised/EN/ACT 540 - REVISED 1995.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/ACT 541 - REVISED 1995.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/ACT 543 - REVISED 1995.pdf,needs_ocr,0/106 text pages
pdfs/revised/EN/ACT 55 - REVISED 1971.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 56 - Revised 1971.pdf,needs_ocr,0/80 text pages
pdfs/revised/EN/Act 56-1965.pdf,needs_ocr,0/336 text pages
pdfs/revised/EN/Act 574 Revised 1997.pdf,needs_ocr,0/219 text pages
pdfs/revised/EN/ACT 59 - WARTA ASAL.pdf,needs_ocr,0/4 text pages
pdfs/revised/EN/ACT 60 - REVISED 1971.pdf,needs_ocr,0/9 text pages
pdfs/revised/EN/ACT 61 - REVISED 1972.pdf,needs_ocr,0/21 text pages
pdfs/revised/EN/ACT 636 (REPRINT 2006).pdf,needs_ocr,0/20 text pages
pdfs/revised/EN/Act 637 - Loan (Local) Act 1959.pdf,already_covered,Act 637
pdfs/revised/EN/Act 647 - 11 9 2013.pdf,already_covered,Act 647
pdfs/revised/EN/Act 648.pdf,already_covered,Act 648
pdfs/revised/EN/Act 649.pdf,already_covered,Act 649
pdfs/revised/EN/ACT 65 - WARTA ASAL.pdf,needs_ocr,0/5 text pages
pdfs/revised/EN/Act 650.pdf,already_covered,Act 650
pdfs/revised/EN/Act 690 - 6 11 2013.pdf,already_covered,Act 690
pdfs/revised/EN/ACT 7 - WARTA ASAL.pdf,needs_ocr,0/22 text pages
pdfs/revised/EN/Act 779 - Revised 2016.pdf,already_covered,Act 779
pdfs/revised/EN/Act 78 (Revised).pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/Act 780.pdf,already_covered,Act 780
pdfs/revised/EN/Act 781 - Revised 2016.pdf,already_covered,Act 781
pdfs/revised/EN/Act 783 - Revised.pdf,already_covered,Act 783
pdfs/revised/EN/Act 784.pdf,already_covered,Act 784
pdfs/revised/EN/Act 79 (Revised).pdf,needs_ocr,0/18 text pages
pdfs/revised/EN/Act 793.pdf,already_covered,Act 793
pdfs/revised/EN/Act 794.pdf,already_covered,Act 794
pdfs/revised/EN/Act 796 - Employment (Restriction) Act 1968.pdf,already_covered,Act 796
pdfs/revised/EN/Act 797_Sabah Ports.pdf,already_covered,Act 797
pdfs/revised/EN/Act 798-Local Authorities.pdf,already_covered,Act 798
pdfs/revised/EN/Act 82 (repealed).pdf,repealed_in_filename,Act 82 (repealed)
pdfs/revised/EN/ACT 83 - REVISED 1972.pdf,needs_ocr,0/10 text pages
pdfs/revised/EN/Act 841.BI.pdf,already_covered,Act 841
pdfs/revised/EN/Act 842 Penang Free School Act 1920.pdf,already_covered,Act 842
pdfs/revised/EN/Act 843 warta 2023.pdf,already_covered,Act 843
pdfs/revised/EN/Act 844 Muktamad.pdf,already_covered,Act 844
pdfs/revised/EN/Act 849 The Titular Superior of The Brothers Of Saint Gabriel (Incorporation) Act 1957 (BI).pdf,already_covered,Act 849
pdfs/revised/EN/Act 855- Preservation of Public Security (Sarawak) Act 1962 (BI).pdf,already_covered,Act 855
pdfs/revised/EN/Act 865 CO-OPERATIVE INSTITUTE (INCORPORATION) ACT 1968.pdf,already_covered,Act 865
pdfs/revised/EN/Act 879 BI.pdf,already_covered,Act 879
pdfs/revised/EN/Act 90- Repealed.pdf,repealed_in_filename,Act 90- Repealed
pdfs/revised/EN/Act 91(Revised) 1972.pdf,needs_ocr,0/38 text pages
pdfs/revised/EN/ACT 92 - REVISED 1972.pdf,needs_ocr,0/32 text pages
pdfs/revised/EN/ACT 94 - REVISED 1972.pdf,needs_ocr,0/20 text pages
pdfs/revised/EN/ACT 95 - REVISED 1972.pdf,needs_ocr,0/21 text pages
pdfs/revised/EN/ACT 96 - REVISED 1972.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/ACT 97 - REVISED 1972.pdf,needs_ocr,0/44 text pages
pdfs/revised/EN/Act 98 - (Revised 1972)(BI).pdf,needs_ocr,0/30 text pages
pdfs/revised/EN/ACT 99 - REVISED 1972.pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/ACT A1205.pdf,already_covered,Act A1205
pdfs/revised/EN/Act A1615.pdf,already_covered,Act A1615
pdfs/revised/EN/Act A1652.pdf,already_covered,Act A1652
pdfs/revised/EN/Act A1660.pdf,already_covered,Act A1660
pdfs/revised/EN/Act A1666 BI.pdf,already_covered,Act A1666
pdfs/revised/EN/Act A1768 - OFFENDERS COMPULSORY ATTENDANCE (AMENDMENT) ACT 2025.pdf,already_covered,Act A1768
pdfs/revised/EN/Act A1774 - POISONS (AMENDMENT) ACT 2025.pdf,already_covered,Act A1774
pdfs/revised/EN/Act A196.pdf,needs_ocr,0/4 text pages
pdfs/revised/EN/Act A287.pdf,unreadable,Failed to open file 'C:\\Users\\huiyee\\OneDrive\\Documents\\claude\\playground\\malaysia_law\\pdfs\\revised\\EN\\Act A2
pdfs/revised/EN/ACT A639.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/ACT A768.pdf,needs_ocr,0/3 text pages
pdfs/revised/EN/Act A771.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/ACT A889.pdf,needs_ocr,0/3 text pages
pdfs/revised/EN/ACT A95.pdf,needs_ocr,0/3 text pages
pdfs/revised/EN/ACT A996.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/ACT CUSTOMS REVISED 1980.pdf,needs_ocr,0/88 text pages
pdfs/revised/EN/ACT WILLS Revised.pdf,needs_ocr,0/18 text pages
pdfs/revised/EN/ACT360_Revised 1988.PDF,unreadable,Failed to open file 'C:\\Users\\huiyee\\OneDrive\\Documents\\claude\\playground\\malaysia_law\\pdfs\\revised\\EN\\ACT360
pdfs/revised/EN/ACT640 - Election Offences (Amendment) Act 1986.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/Act_472.pdf,already_covered,Act 472
pdfs/revised/EN/ACT_A1155.pdf,already_covered,Act A1155
pdfs/revised/EN/ACT_A1317.pdf,already_covered,Act A1317
pdfs/revised/EN/AKTA 103- REVISED -1973 (BI).pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/AKTA 114- REVISED.pdf,needs_ocr,0/6 text pages
pdfs/revised/EN/AKTA 117- SEMAKAN.pdf,needs_ocr,0/21 text pages
pdfs/revised/EN/AKTA 118 - SEMAKAN.pdf,needs_ocr,0/21 text pages
pdfs/revised/EN/AKTA 119- SEMAKAN.pdf,needs_ocr,0/12 text pages
pdfs/revised/EN/AKTA 120 (REVISED) BI.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/Akta 193-revised.pdf,needs_ocr,0/7 text pages
pdfs/revised/EN/Akta 258- Warta Asal.pdf,needs_ocr,0/16 text pages
pdfs/revised/EN/AKTA 299 REVISED 1983.pdf,needs_ocr,0/37 text pages
pdfs/revised/EN/Akta 351 DISEMAK.pdf,needs_ocr,0/13 text pages
pdfs/revised/EN/Akta 370 -Revised 1989.pdf,needs_ocr,0/18 text pages
pdfs/revised/EN/AKTA 424 REVISED 1990.pdf,needs_ocr,0/15 text pages
pdfs/revised/EN/AKTA 63 BI REPEAL.pdf,repealed_in_filename,AKTA 63 BI REPEAL
pdfs/revised/EN/Audit Act 1957 - Revised 1972(1).pdf,needs_ocr,0/12 text pages
pdfs/revised/EN/BI-REPRINT 2006.pdf,already_covered,Act 637
pdfs/revised/EN/Dec 2007  Revised Act 681.pdf,already_covered,Act 681
pdfs/revised/EN/Draf Muktamad (11 12 2020).pdf,already_covered,Act 366
pdfs/revised/EN/F.M. 22-1949.pdf,needs_ocr,0/2 text pages
pdfs/revised/EN/Final Copy Act 487 (10 5 2016).pdf,already_covered,Act 487
pdfs/revised/EN/Jewellers (Licensing) Act 1917 Act 857.pdf,already_covered,Act 1917
pdfs/revised/EN/L.N 80 1964.pdf,unreadable,Failed to open file 'C:\\Users\\huiyee\\OneDrive\\Documents\\claude\\playground\\malaysia_law\\pdfs\\revised\\EN\\L.N 80
pdfs/revised/EN/L.N. 332-1958.pdf,needs_ocr,0/67 text pages
pdfs/revised/EN/L.N.149 1964.pdf,needs_ocr,0/3 text pages
pdfs/revised/EN/Muka surat depan Act 272 (Repealed by Act 452).pdf,repealed_in_filename,Muka surat depan Act 272 (Repealed by Act 452)
pdfs/revised/EN/muktamad 27.1.22 Act 366.pdf,already_covered,Act 366
pdfs/revised/EN/Muktamad_Act 366_as 1 Jan 2023.pdf,already_covered,Act 366
pdfs/revised/EN/NO. 13 OF 1963.pdf,needs_ocr,0/2 text pages
pdfs/revised/EN/NO. 14 OF 1962.pdf,needs_ocr,0/16 text pages
pdfs/revised/EN/NO. 33 OF 1958 - ACT 19.pdf,needs_ocr,0/10 text pages
pdfs/revised/EN/NO. 7 OF 1965.pdf,needs_ocr,0/1 text pages
pdfs/revised/EN/Nov 2007  Revised Act 682.pdf,already_covered,Act 682
pdfs/revised/EN/Original_Act 321.pdf,needs_ocr,0/8 text pages
pdfs/revised/EN/P.U. 144-1966.pdf,needs_ocr,0/2 text pages
pdfs/revised/EN/P.U. 348-1967.pdf,needs_ocr,0/2 text pages
pdfs/revised/EN/P.U. 349-1967.pdf,needs_ocr,0/1 text pages
pdfs/revised/EN/P.U. 497-1966.pdf,needs_ocr,0/5 text pages
pdfs/revised/EN/P.U. 498-1966.pdf,needs_ocr,0/2 text pages
pdfs/revised/EN/P.U. 55-1968.pdf,needs_ocr,0/2 text pages
pdfs/revised/EN/P.U. 56-1966.pdf,needs_ocr,0/4 text pages
pdfs/revised/EN/Reprint 1999.pdf,needs_ocr,0/11 text pages
pdfs/revised/EN/Revised 1988.pdf,needs_ocr,0/14 text pages
pdfs/revised/EN/Revised ACT 135.pdf,needs_ocr,0/20 text pages
pdfs/revised/EN/Revised Act 141.pdf,needs_ocr,0/20 text pages
pdfs/revised/EN/revised act 209.pdf,needs_ocr,0/4 text pages
pdfs/revised/EN/Revised Text 1989-Act 415.pdf,needs_ocr,0/10 text pages
pdfs/revised/EN/Salinan Warta Act 489 (Revised 1992).pdf,needs_ocr,0/33 text pages
pdfs/revised/EN/Salinan Warta Income Tax Act 1967 (Revised 1971).pdf,needs_ocr,0/278 text pages
pdfs/revised/EN/Warta Act 365 revised.pdf,needs_ocr,0/10 text pages
pdfs/revised/EN/WARTA ACT 474.pdf,needs_ocr,0/44 text pages
pdfs/revised/EN/warta Akta 67 Revised 1972.pdf,needs_ocr,0/29 text pages
pdfs/revised/EN/Warta- Act 393.pdf,needs_ocr,0/16 text pages
pdfs/revised/EN/Water Act 1920 [Act 418].pdf,needs_ocr,0/25 text pages
